session_id,session_id,site0,site1,site2,site3,site4,site5,site6,site7,site8,site9,user_id
76,77,4,115,23,4,33,6,4,9,4,115,31
77,78,6,23,9,192,418,418,192,2,6,3,31
78,79,3,6,2,2,2,6,2,3,63,54,31
79,80,2,6,3,54,63,86,54,63,142,54,31
80,81,142,63,2,2,2,88,2,578,133,3,31
81,82,3,133,199,124,55,3,55,3573,3585,199,31
82,83,124,55,3,128,193,3474,230,3404,230,664,31
83,84,217,217,55,55,578,133,3,133,3,124,31
84,85,199,55,3,55,336,5,193,342,55,55,31
85,86,5,691,466,294,203,3613,55,3322,371,3859,31
86,87,611,611,371,230,230,1120,772,352,772,352,31
87,88,571,571,192,2,6,3,2,2274,3,2274,31
88,89,2274,3,6,578,133,2,133,3,61,61,31
89,90,3598,559,41,61,19,38,13,19,13,38,31
90,91,133,31,14,3665,38,1,13,245,611,13,31
91,92,14,19,19,38,230,6,14,13,395,1,31
92,93,13,38,857,13,19,138,13,1,19,138,31
93,94,8,857,13,14,1,14,547,19,38,3,31
94,95,1,19,13,6,6,547,13,19,1,6,31
95,96,75,75,1,1,1,14,1,14,14,19,31
96,97,75,14,1,75,1,14,14,14,1,14,31
97,98,1,14,14,1,14,14,1,14,1,14,31
98,99,75,14,1,14,1,14,14,13,14,6,31
99,100,55,3,55,55,199,124,415,466,106,5,31
100,101,106,3842,247,172,55,3369,261,3526,571,261,31
101,102,571,173,173,43,2,6,3,86,63,142,31
102,103,2,54,54,86,54,54,54,6,3,2,31
103,104,2,2,2509,2,2,3,578,133,3,133,31
104,105,133,133,199,124,55,3,55,124,199,55,31
105,106,193,128,55,3610,230,3717,2297,230,571,1616,31
106,107,2,6,3,2,6,3,148,148,18,6,31
107,108,148,17,5,44,5,3,148,3,6,1185,31
108,109,148,148,3,148,148,148,148,10,148,10,31
109,110,148,148,148,148,148,148,148,148,148,148,31
110,111,148,148,10,148,148,148,148,148,148,148,31
111,112,148,148,148,148,148,13,38,19,148,148,31
112,113,148,148,148,148,148,148,148,148,148,148,31
113,114,148,148,148,148,148,148,148,148,148,148,31
114,115,148,148,148,148,148,148,148,148,148,148,31
115,116,148,148,148,148,148,148,148,148,148,148,31
116,117,148,148,148,148,148,148,148,148,148,148,31
117,118,148,148,148,148,148,245,148,148,148,148,31
118,119,148,148,148,148,148,148,148,148,148,148,31
119,120,148,148,148,148,148,2,6,3,239,6,31
120,121,88,239,2,3,38,13,19,3,6,88,31
121,122,239,38,19,13,239,432,364,364,432,74,31
122,123,1201,916,1282,3654,1282,1288,239,432,364,506,31
123,124,1282,745,1201,364,432,3615,74,1518,74,74,31
124,125,74,74,74,364,74,74,74,74,74,74,31
125,126,74,3157,364,916,506,916,74,74,74,364,31
126,127,1288,3157,506,74,74,756,577,886,1931,74,31
127,128,74,1288,74,74,74,432,364,1944,432,364,31
128,129,379,44,18,17,379,5,379,5,3783,379,31
129,130,1896,1896,364,74,1944,364,74,74,74,74,31
130,131,74,74,74,74,74,74,74,74,74,74,31
131,132,74,74,74,74,74,74,74,239,74,74,31
132,133,74,74,74,74,74,74,74,74,74,74,31
133,134,74,74,74,74,74,74,74,74,74,74,31
134,135,74,74,74,74,239,1578,31,6,6,22,31
135,136,5,457,1578,17,18,44,31,6,1578,130,31
136,137,673,5,22,1578,44,6,53,6,5,1578,31
137,138,20,20,10,20,20,10,2,6,3,2,31
138,139,3302,3302,6,3,239,2,53,239,239,44,31
139,140,1537,1538,229,2492,1537,22,1538,229,1538,1537,31
140,141,6,10,5,18,1538,1125,1537,17,5,1125,31
141,142,6,20,13,19,1537,1125,1537,239,239,88,31
142,143,3,239,1288,239,13,239,244,751,1528,751,31
143,144,44,17,18,797,6,6,751,1447,6,336,31
144,145,342,691,5,3168,5,536,172,423,639,1193,31
145,146,172,294,10,639,172,10,3410,172,751,20,31
146,147,20,173,20,88,3,13,239,239,924,729,31
147,148,3813,420,420,774,1898,420,17,18,203,22,31
148,149,420,2346,1898,5,1558,420,20,6,2,3,31
149,150,2,524,6,1301,524,6,17,2647,18,1301,31
150,151,524,1301,1301,524,1301,1922,170,2283,875,524,31
151,152,1029,462,170,1301,5,1301,170,193,524,524,31
152,153,524,524,395,524,524,524,395,524,208,17,31
153,154,524,5,208,18,524,524,524,524,524,524,31
154,155,524,524,524,524,524,524,524,2,2,1149,31
155,156,1149,31,3,1149,5,22,1149,208,3597,31,31
156,157,1149,208,6,979,208,208,397,979,208,208,31
157,158,20,20,10,10,1149,208,208,397,979,761,31
158,159,208,239,2,2,3557,5,327,18,17,3198,31
159,160,106,22,6,5,2,229,3441,3630,106,3198,31
160,161,3158,3176,3158,3176,5,6,5,3403,10,10,31
161,162,327,13,38,19,20,20,397,2,208,1149,31
162,163,5,1149,208,6,20,1149,3186,208,186,380,31
163,164,391,979,520,380,613,208,624,5,397,186,31
164,165,391,22,6,31,391,520,208,186,20,645,31
165,166,186,10,6,391,20,624,380,5,391,613,31
166,167,520,380,3854,6,645,380,380,624,5,186,31
167,168,380,415,613,186,20,3807,520,613,6,380,31
168,169,2296,186,5,380,380,520,186,645,391,380,31
169,170,6,18,20,17,20,5,3199,3199,457,208,31
170,171,186,5,380,20,380,613,520,17,6,761,31
171,172,979,18,208,397,2260,5,6,208,2260,397,31
172,173,208,20,613,5,20,520,17,6,645,18,31
173,174,5,20,2,186,239,397,186,2,3,239,31
174,175,3,239,1535,3283,2324,1286,3809,3449,1119,17,31
175,176,130,87,18,1535,1119,73,53,2324,130,5,31
176,177,6,10,31,87,73,1546,1119,22,20,3579,31
177,178,1119,2,87,63,54,142,2,86,54,86,31
178,179,63,54,54,54,3,88,13,239,239,53,31
179,180,239,2,3,2,1007,102,174,102,174,3220,31
180,181,2401,1007,73,3577,44,102,253,1007,146,914,31
181,182,31,2,173,173,102,146,102,1007,1007,174,31
182,183,1007,174,174,73,1007,174,2401,2401,73,3220,31
183,184,3,88,239,13,2,3,2,1571,3915,3,31
184,185,407,1571,923,1571,530,923,399,399,399,399,31
185,186,3761,2,1571,3902,3656,3,399,399,399,399,31
186,187,399,399,399,1571,399,399,2,6,3,2,31
187,188,318,102,6,3,73,84,102,318,3804,1903,31
188,189,146,1903,766,634,318,3132,318,73,1903,318,31
189,190,1143,318,84,31,3132,146,102,318,22,5,31
190,191,84,318,17,18,6,53,6,125,22,10,31
191,192,20,318,10,3589,318,318,1546,73,1903,1904,31
192,193,20,318,1143,22,1904,5,125,53,18,17,31
193,194,6,239,318,20,318,73,1380,73,1380,1143,31
194,195,1380,22,18,5,6,17,53,125,5,318,31
195,196,20,2435,318,73,1143,318,22,53,17,18,31
196,197,6,125,5,20,318,1629,73,1629,318,22,31
197,198,17,6,5,18,318,1939,318,1939,73,318,31
198,199,20,1143,1939,22,6,5,53,18,17,22,31
199,200,318,73,318,20,3187,1143,379,3187,17,6,31
200,201,5,18,53,318,2402,2402,73,318,20,2402,31
201,202,5,18,17,53,5,6,3169,3525,3527,3169,31
202,203,31,3318,3687,3749,84,3639,3653,20,2,637,31
203,204,2,752,1147,415,18,17,5,211,480,637,31
204,205,480,752,17,480,18,637,752,1147,415,1668,31
205,206,752,637,752,752,637,752,637,17,752,18,31
206,207,415,1147,1574,87,637,637,87,17,1147,18,31
207,208,752,407,752,752,637,407,752,17,1147,18,31
208,209,637,637,1147,18,752,407,17,407,637,637,31
209,210,2,18,752,2,17,1147,637,637,637,1147,31
210,211,17,752,18,637,318,1560,318,2289,1143,73,31
211,212,318,1560,788,174,1560,379,17,6,5,18,31
212,213,53,125,20,318,318,1941,73,1941,1941,18,31
213,214,53,6,125,17,5,3,88,239,13,20,31
214,215,637,637,1147,18,17,752,637,318,3161,318,31
215,216,73,87,3161,125,5,53,18,6,17,20,31
216,217,87,318,1904,318,73,1904,125,53,5,44,31
217,218,18,6,17,318,1374,318,1374,73,87,1374,31
218,219,5,53,18,6,17,318,87,20,2405,318,31
219,220,379,73,2289,788,2405,318,2405,379,125,53,31
220,221,6,17,5,18,318,73,20,318,3165,3175,31
221,222,379,3175,3165,6,17,5,53,125,18,20,31
222,223,5,318,318,2406,2406,1546,73,318,1650,318,31
223,224,2406,6,17,18,53,125,5,318,20,318,31
224,225,3434,318,73,1546,18,5,6,17,318,3409,31
225,226,20,239,61,61,1275,687,2751,61,559,41,31
226,227,61,226,226,226,355,355,507,192,226,226,31
227,228,226,101,226,226,40,226,226,226,226,226,31
228,229,101,226,40,1268,226,181,40,40,61,43,31
229,230,81,43,43,578,133,3,133,3,31,3430,31
230,231,55,3,55,199,124,106,3868,247,515,55,31
231,232,55,294,336,55,691,415,203,294,2283,55,31
232,233,3890,3751,750,557,557,750,230,400,555,173,31
233,234,173,43,192,93,93,93,578,133,93,31,31
234,235,133,3,133,3,133,199,124,670,133,395,31
235,236,3392,55,3,55,55,55,199,124,106,43,31
236,237,93,93,133,199,124,395,670,670,3632,1306,31
237,238,1306,55,55,55,415,618,342,128,203,173,31
238,239,611,3394,3370,173,1936,611,55,199,55,1936,31
239,240,124,193,5,1424,3511,3790,1424,1281,230,1281,31
240,241,230,371,1062,371,1540,1540,1518,217,3293,3293,31
241,242,55,55,199,124,415,55,466,55,294,480,31
242,243,1663,480,5,691,336,3614,3353,55,124,199,31
243,244,55,55,415,55,3418,261,3674,750,261,352,31
244,245,212,908,55,55,55,55,3802,619,3645,230,31
245,246,619,230,611,611,55,199,55,124,3698,3444,31
246,247,618,750,618,620,1927,620,55,55,55,55,31
247,248,55,55,199,124,55,3536,3407,750,1281,1281,31
248,249,230,620,230,620,694,694,55,199,55,124,31
249,250,3928,3440,55,55,199,124,3712,3529,133,55,31
250,251,124,199,670,395,124,199,133,670,395,3611,31
251,252,607,607,55,55,133,55,133,670,395,3575,31
252,253,261,261,3747,3,133,578,31,3,133,670,31
253,254,670,133,395,133,3516,2381,618,2381,618,55,31
254,255,3,55,55,55,106,836,1289,1015,294,106,31
255,256,691,914,294,247,3606,3841,400,555,400,2271,31
256,257,400,1198,2302,1062,1062,908,908,620,620,43,31
257,258,93,2,3,6,2,59,31,59,136,59,31
258,259,59,6,2,3,2,2,2,393,276,2,31
259,260,3456,2784,393,276,229,229,600,393,982,22,31
260,261,1305,701,44,998,22,6,701,982,18,17,31
261,262,1305,714,701,982,688,701,714,20,10,5,31
262,263,6,20,393,10,2,2,819,819,479,479,31
263,264,479,479,202,1183,2,2,2,2,63,54,31
264,265,142,86,54,63,54,55,133,133,55,55,31
265,266,55,55,415,55,193,342,5,3720,3362,2,31
266,267,63,54,54,86,54,63,336,2,2,2,31
267,268,59,59,59,2,2,1308,439,31,1925,439,31
268,269,1582,1582,852,128,211,3382,203,1582,211,3139,31
269,270,1582,5,2403,2403,1582,211,203,2403,852,211,31
270,271,3139,128,5,216,439,2,1308,439,2909,3,31
271,272,3,5,2,2,59,2,59,59,2,59,31
272,273,59,2,59,59,2,2,2677,2,55,133,31
273,274,133,55,55,55,415,480,203,173,173,55,31
274,275,133,124,199,133,670,395,3408,55,55,415,31
275,276,128,55,133,199,124,480,670,395,3535,93,31
276,277,10,4,214,3,4,10,4,6,3,3,31
277,278,4,3,21,27,6,10,27,4,21,6,31
278,279,30,3,9,9,30,6,6,4,4,33,31
279,280,4,4,9,6,23,4,9,9,6,33,31
280,281,6,23,2,2,6,9,2,2,2,63,31
281,282,54,54,2,86,86,63,9,9,4,4,31
282,283,9,4,4,9,4,4,9,4,4,4,31
283,284,9,4,9,4,4,9,4,133,133,4,31
284,285,55,55,199,124,3881,253,3725,3762,4,9,31
285,286,4,60,60,267,578,133,3,133,133,3,31
286,287,31,199,124,133,133,3837,664,352,352,395,31
287,288,55,55,3,55,55,55,691,3671,55,55,31
288,289,199,124,106,1015,836,3759,3849,694,1543,217,31
289,290,352,217,106,43,55,199,124,193,294,914,31
290,291,3715,908,261,3507,261,3183,571,3183,571,618,31
291,292,2407,2407,55,133,133,133,133,395,3635,230,31
292,293,230,212,212,395,55,55,3724,3757,557,557,31
293,294,607,607,55,55,336,55,3634,3750,1122,1122,31
294,295,555,400,212,400,212,55,5,3889,3883,1616,31
295,296,1616,261,1306,199,55,124,3785,853,853,2261,31
296,297,3624,371,371,620,55,55,124,199,55,55,31
297,298,3605,3405,55,55,124,199,5,128,3791,3445,31
298,299,2313,864,885,537,885,133,55,3380,133,3764,31
299,300,908,810,395,395,55,3878,55,3508,55,3780,31
300,301,3845,371,371,230,212,212,261,217,878,230,31
301,302,217,557,557,192,2,6,3,4,3,4,31
302,303,4,10,2,6,21,2,2,27,3,10,31
303,304,21,4,30,6,9,3,27,6,9,4,31
304,305,33,6,4,9,33,10,4,31,578,199,31
305,306,3,133,124,6,6,9,4,55,3,55,31
306,307,3,55,106,172,836,1015,55,3389,664,664,31
307,308,172,55,55,3,55,3179,203,55,3437,3640,31
308,309,230,43,217,230,217,1585,173,55,55,173,31
309,310,55,4,9,6,6,4,4,9,4,30,31
310,311,4,4,30,123,123,77,30,30,30,123,31
311,312,77,4,4,4,4,4,4,4,43,2,31
312,313,6,3,2343,2,2,2300,3,6,2,3,31
313,314,133,578,133,3,31,133,133,3782,395,3,31
314,315,55,124,197,55,199,106,247,193,3923,878,31
315,316,55,3,55,294,336,3179,3896,3663,230,607,31
316,317,217,230,55,1122,1122,2,2,63,142,86,31
317,318,2,54,2,86,142,54,808,2,2,133,31
318,319,3,133,3580,395,124,55,197,55,3583,3558,31
319,320,618,618,217,2325,2325,352,352,1014,55,3693,31
320,321,3828,419,571,853,571,230,853,230,55,55,31
321,322,2,54,63,2,63,86,2,55,2,86,31
322,323,54,63,2,63,86,43,2,3,6,4,31
323,324,2,10,2,6,2,21,27,2,3,9,31
324,325,10,3,21,4,6,30,27,9,30,9,31
325,326,4,33,10,33,4,9,6,133,578,3,31
326,327,133,603,31,3,199,197,4,124,124,3,31
327,328,55,55,199,124,197,106,192,193,836,1015,31
328,329,348,2101,106,3365,1198,1568,55,3921,1195,230,31
329,330,212,43,2,9,2,2,2,36,3,158,31
330,331,36,92,3,36,3,128,5,172,105,10,31
331,332,10,105,9,2,9,9,9,9,4,3,31
332,333,30,4,33,2,3,30,33,4,9,9,31
333,334,6,4,6,4,9,9,4,4,4,4,31
334,335,9,4,4,4,4,9,4,4,9,133,31
335,336,199,197,124,55,197,124,199,55,342,5,31
336,337,3519,3628,419,371,419,371,607,607,620,620,31
337,338,4,55,55,55,124,197,199,55,3786,750,31
338,339,9,833,833,620,620,4,4,4,4,9,31
339,340,55,197,55,124,199,294,1377,55,5,55,31
340,341,212,3699,3781,261,261,212,55,253,203,3692,31
341,342,914,245,3917,611,772,772,212,212,55,611,31
342,343,810,173,810,955,955,4,55,336,3832,124,31
343,344,197,199,55,3544,3700,3423,750,261,555,400,31
344,345,371,199,55,124,197,55,3814,55,193,55,31
345,346,55,3672,55,3467,3778,4,1585,1585,230,853,31
346,347,853,173,371,371,133,55,212,55,5,2490,31
347,348,3211,1894,3753,212,212,1313,3559,55,55,199,31
348,349,197,124,3506,3550,1062,55,199,124,197,3888,31
349,350,878,955,3329,955,2313,1313,878,261,772,772,31
350,351,261,955,955,4,55,3647,3378,4,4,80,31
351,352,52,67,15,72,15,1026,1026,114,2791,114,31
352,353,561,39,114,114,114,114,39,37,24,546,31
353,354,85,52,37,24,37,24,24,24,37,24,31
354,355,37,24,37,24,15,72,2,137,113,15,31
355,356,6,3,2,167,182,312,164,81,163,167,31
356,357,182,164,167,163,2,6,3,4,10,2,31
357,358,6,21,2,2,2,27,3,27,6,4,31
358,359,10,21,9,4,3,30,9,4,33,4,31
359,360,10,33,9,4,6,43,60,60,60,60,31
360,361,69,69,160,80,67,67,580,113,2,137,31
361,362,15,72,15,2,465,15,39,39,2,2,31
362,363,37,24,24,6,3,2,85,52,3,67,31
363,364,67,2,293,544,293,293,478,1659,544,293,31
364,365,3,2,3,3,2,63,54,2,63,54,31
365,366,86,142,86,1908,2,1908,1908,1908,2,5,31
366,367,390,118,90,108,5,90,108,18,108,118,31
367,368,22,73,44,102,5,17,15,90,118,297,31
368,369,407,5,107,20,54,63,63,86,2,53,31
369,370,2449,700,53,22,17,5,130,22,44,53,31
370,371,18,6,80,3,130,15,3,31,6,10,31
371,372,53,203,53,53,53,53,53,22,2,1403,31
372,373,1403,2,24,37,24,256,24,37,24,2,31
373,374,15,72,15,15,15,15,2,21,27,10,31
374,375,3,30,6,9,33,9,9,24,37,9,31
375,376,9,9,24,37,24,9,15,72,4,6,31
376,377,9,9,37,24,9,6,9,9,37,24,31
377,378,6,9,4,60,60,60,60,39,67,80,31
378,379,578,133,3,133,603,3,31,603,124,197,31
379,380,199,594,52,31,744,5,133,3754,306,55,31
380,381,3,55,395,199,197,55,336,55,744,193,31
381,382,294,124,67,5,3377,3627,212,212,217,555,31
382,383,400,55,55,836,515,106,136,2823,55,113,31
383,384,203,1015,260,245,253,128,3588,55,55,3505,31
384,385,3466,1120,1120,55,55,55,87,197,124,199,31
385,386,348,55,3721,3796,619,3133,3133,217,217,3185,31
386,387,217,3185,87,55,128,342,744,3413,3873,833,31
387,388,833,371,371,371,772,611,230,230,37,24,31
388,389,24,24,85,52,37,24,24,15,2,72,31
389,390,15,568,6,9,3,2,39,37,24,24,31
390,391,24,37,24,24,37,24,37,24,72,15,31
391,392,15,15,15,15,3,30,10,33,6,51,31
392,393,9,23,6,9,6,9,37,24,9,9,31
393,394,9,4,425,4,10,21,4,27,10,21,31
394,395,27,4,30,4,3,4,30,51,4,3,31
395,396,4,51,9,6,4,51,9,4,6,33,31
396,397,4,4,23,10,9,9,33,43,23,4,31
397,398,6,51,51,23,1124,1124,56,1124,177,56,31
398,399,308,32,32,32,32,32,12,4,12,574,31
399,400,68,68,854,12,68,111,111,9,6,3848,31
400,401,68,574,12,12,854,266,458,458,421,421,31
401,402,6,4,9,23,51,4,9,1033,23,23,31
402,403,4,9,51,23,9,9,23,81,164,164,31
403,404,182,167,163,182,312,167,164,182,41,164,31
404,405,167,5,5,163,182,164,9,2,2,3,31
405,406,9,9,9,3,38,2,2,13,38,78,31
406,407,38,38,78,19,6,78,38,38,192,19,31
407,408,6,19,6,9,3,19,13,13,78,19,31
408,409,78,78,19,19,19,19,19,19,23,23,31
409,410,4,38,15,3,13,38,6,15,19,19,31
410,411,38,38,19,172,172,172,172,9,6,9,31
411,412,9,9,9,4,9,9,2,9,4,2,31
412,413,9,2,1529,54,1529,54,54,54,142,86,31
413,414,86,54,1529,54,1529,9,9,4,9,9,31
414,415,4,9,6,23,4,9,5,182,163,5,31
415,416,41,2,3,6,9,9,4,6,9,2,31
416,417,3,4,2,30,4,10,30,4,33,4,31
417,418,9,10,9,33,4,6,6,4,60,60,31
418,419,51,23,4,60,60,4,51,4,9,51,31
419,420,4,39,6,51,23,23,33,23,9,4,31
420,421,60,60,60,60,39,80,67,113,137,15,31
421,422,72,15,37,24,24,15,15,2,951,107,31
422,423,41,185,52,41,306,41,82,41,185,85,31
423,424,82,578,31,3,603,133,197,133,3,199,31
424,425,124,603,133,52,71,3458,306,395,55,3,31
425,426,55,55,55,197,124,106,260,113,515,172,31
426,427,55,3851,3894,1198,371,1568,254,371,165,254,31
427,428,45,3886,254,99,371,45,45,45,159,254,31
428,429,1062,147,187,95,1062,97,620,3,9,6,31
429,430,2,620,113,725,85,15,15,52,3,30,31
430,431,10,33,6,9,9,37,24,24,9,9,31
431,432,9,37,24,24,9,55,306,133,55,55,31
432,433,137,113,55,124,197,3846,3416,217,261,400,31
433,434,555,352,6,15,72,2,22,517,566,3843,31
434,435,517,22,566,6,517,3286,722,107,17,5,31
435,436,18,5,566,136,3286,20,44,4,9,6,31
436,437,10,2,1203,6,15,1203,5,1203,5,3531,31
437,438,1203,2740,3166,3166,294,1203,3730,456,172,2315,31
438,439,172,2315,172,1203,1203,1203,31,3138,3826,3162,31
439,440,2,1945,1573,614,3897,3162,2378,1573,3138,3530,31
440,441,1945,3836,1945,3,5,1573,1945,15,1573,2378,31
441,442,3186,186,520,186,391,380,624,773,391,186,31
442,443,624,5,22,391,773,2267,186,520,874,613,31
443,444,31,645,391,773,5,380,957,172,184,186,31
444,445,391,186,624,44,380,5,2378,613,186,2267,31
445,446,186,645,17,18,520,645,380,874,186,22,31
446,447,5,172,3876,172,957,247,773,2,31,537,31
447,448,537,537,20,1014,186,1014,184,22,186,184,31
448,449,10,6,186,184,186,184,184,186,184,1573,31
449,450,20,9,55,124,197,55,3866,400,352,3619,31
450,451,555,1120,261,833,261,611,55,106,124,197,31
451,452,1893,106,3618,3563,217,217,1896,725,113,55,31
452,453,55,197,124,55,55,124,197,3539,371,3397,31
453,454,55,124,197,55,55,55,124,55,197,975,31
454,455,55,3381,3643,352,1195,618,557,1195,2,24,31
455,456,37,24,24,2,31,204,1261,1525,1261,1310,31
456,457,1310,1525,1261,1310,1525,514,1310,204,1261,1310,31
457,458,204,55,9,2,55,55,197,124,3755,3348,31
458,459,230,555,400,230,955,611,557,611,15,10,31
459,460,4,21,9,55,197,124,55,3622,3447,664,31
460,461,664,4,60,60,60,80,60,15,72,15,31
461,462,15,15,355,39,21,27,30,3,10,33,31
462,463,24,37,51,6,39,23,256,9,137,113,31
463,464,9,9,6,9,24,37,9,9,4,9,31
464,465,37,24,24,9,4,60,60,80,67,60,31
465,466,60,137,15,72,113,15,37,24,24,24,31
466,467,15,15,15,15,39,15,39,2,3,30,31
467,468,10,33,9,6,85,52,31,1261,204,1525,31
468,469,1310,1525,514,204,1310,1525,1261,15,3,204,31
469,470,1261,10,9,9,9,51,23,6,9,9,31
470,471,3,9,3,88,9,2,9,17,395,9,31
471,472,395,5,6,40,4,9,9,2,9,9,31
472,473,9,9,9,9,9,6,9,4,11,11,31
473,474,2,7,10,21,30,33,642,3,15,9,31
474,475,39,77,38,153,19,13,1,78,6,9,31
475,476,9,9,17,5,5,5,17,5,5,5,31
476,477,9,10,17,17,5,17,5,17,3211,17,31
477,478,5,17,5,6,9,2,3,10,9,9,31
478,479,4,9,9,9,9,9,9,9,9,9,31
479,480,9,9,9,9,4,9,9,9,9,9,31
480,481,9,9,9,2,9,4,9,39,39,88,31
481,482,213,9,6,3,2,39,9,9,3,30,31
482,483,9,10,33,6,23,6,9,9,9,9,31
483,484,9,6,9,4,9,9,9,9,9,9,31
484,485,6,4,9,5,17,22,53,3,213,2,31
485,486,6,9,2,6,10,210,497,77,3,9,31
486,487,9,9,60,60,60,60,39,39,80,67,31
487,488,15,72,15,15,15,3,30,10,9,33,31
488,489,24,37,51,6,23,85,52,9,9,9,31
489,490,24,37,24,9,9,9,37,24,4,9,31
490,491,9,9,9,24,37,24,9,9,9,4,31
491,492,37,24,9,4,133,578,133,3,603,31,31
492,493,3,133,199,197,124,133,192,603,603,133,31
493,494,133,395,3690,261,261,217,217,885,885,55,31
494,495,3,55,55,55,106,199,124,197,106,172,31
495,496,836,2456,1015,639,1193,639,3823,172,173,371,31
496,497,371,3856,212,864,864,371,371,55,124,197,31
497,498,55,199,106,3833,128,172,348,173,172,3400,31
498,499,2407,230,230,230,3682,1014,1014,879,833,833,31
499,500,55,55,197,124,199,55,55,3316,212,1033,31
500,501,43,2,2,6,3,43,6,3,2,2382,31
501,502,2382,2382,395,60,60,60,60,80,67,67,31
502,503,15,72,580,578,133,31,3,603,199,133,31
503,504,3,124,197,603,52,336,193,52,3646,1902,31
504,505,212,725,113,306,267,15,395,137,113,15,31
505,506,3,55,67,55,55,55,197,124,55,15,31
506,507,348,260,5,3578,3666,611,261,173,1520,24,31
507,508,37,24,546,39,85,52,37,24,24,39,31
